0	1312	3
10	233.2	1.1
15	352.3	1.2
20	462.0	1.1
30	639	    2
50	856	    3
100	1143	2
150	1264	2
200	1297	2
300	1286	2
500	1153	2
700	1063	2
1000	914	2
