0	1312	3	5.6375	6.38603
10	233.2	1.1	1.00203	1.48797
15	352.3	1.2	1.51379	1.93172
20	462	1.1	1.98516	2.26955
30	639	2	2.7457	3.39689
50	856	3	3.67813	4.74643
100	1143	2	4.91133	5.30294
150	1264	2	5.43125	5.78779
200	1297	2	5.57305	5.92105
300	1286	2	5.52578	5.87659
500	1153	2	4.9543	5.34276
700	1063	2	4.56758	4.98626
1000	914	2	3.92734	4.40727
